Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
British,EU,Undergraduate school,19,White,Married or domestic partnership,A student,2-3 years,Adventure,Almost everyday,2. Almost everyday,Terraforming
British,EU,Undergraduate school,19,White,"Single, never married",A student,More than 3 years,"Action, Adventure",Almost everyday,2. Almost everyday,Fishing
Scottish,EU,High school,19,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
Filipino,Asia,High school,19,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Watering other peopleâs flowers for bells
British ,EU,Undergraduate school,19,White,"Single, never married",A student,More than 3 years,"Adventure, Simulation",Almost everyday,2. Almost everyday,Making clothes 
American,US/Canada,High school,19,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Terraforming
Australian,Other,High school,19,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,19,Hispanic or Latino,"Single, never married",A student,More than 3 years,"RPG, Simulation, Sports",Almost everyday,1. Everyday,Planting trees/flowers
American ,US/Canada,High school,19,White,"Single, never married",Self-employed,More than 3 years,"RPG, Simulation",Almost every week,4. Almost every week,Talking to villagers and decorating 
Citizen of the United States,US/Canada,High school,19,White,"Single, never married",A student,More than 3 years,RPG,Everyday,1. Everyday,Decorating 
Filipino,Asia,Undergraduate school,19,Asian,"Single, never married",A student,1-2 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Terraforming
Vietnam,Asia,Undergraduate school,20,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Terraforming
Vietnam,Asia,Undergraduate school,20,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
Vietnam,Asia,High school,20,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, 2D Fighter",Almost everyday,2. Almost everyday,Fishing
Vietnamese,Asia,Undergraduate school,20,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"RPG, Strategy",Almost every week,No,Planting trees/flowers
