Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
Vietnam,Asia,Undergraduate school,23,Asian,"Single, never married",Self-employed,1-2 years,"Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
indonesian,Asia,Undergraduate school,23,Asian,"Single, never married",Out of work and looking for work,More than 3 years,Simulation,Less than every month,1. Everyday,Catching bugs
British ,EU,Undergraduate school,23,White,Married or domestic partnership,Employed for wages,1-2 years,"Simulation, Strategy",Everyday,1. Everyday,Fishing
British,EU,Undergraduate school,23,White,Married or domestic partnership,A student,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Out of work and looking for work,More than 3 years,RPG,Almost every week,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Sports",Almost everyday,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,23,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Graduate school and higher,23,White,"Single, never married",Out of work and looking for work,More than 3 years,Adventure,Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,23,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG",Everyday,2. Almost everyday,Catching bugs
American ,US/Canada,Undergraduate school,23,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Shopping
American (United States of America) ,US/Canada,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Strategy",Every week,2. Almost everyday,Catching bugs
Caucasian ,EU,High school,23,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,"RPG, Simulation",Every month,1. Everyday,Fishing
American (United States),US/Canada,Undergraduate school,23,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Fishing
American (U.S.A.),US/Canada,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating my home and outdoor spaces
American,US/Canada,High school,23,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Catching bugs
American,US/Canada,Undergraduate school,23,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Canadian,US/Canada,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,23,White,Married or domestic partnership,Employed for wages,More than 3 years,Simulation,Almost everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,23,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,interacting with villagers
American,US/Canada,Graduate school and higher,23,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Strategy",Every week,1. Everyday,Terraforming
United States,US/Canada,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,interacting with villagers and friends
American ,US/Canada,Undergraduate school,23,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Simulation, Strategy",Everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Employed for wages,More than 3 years,Adventure,Everyday,2. Almost everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,23,Hispanic or Latino,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, RPG",Everyday,1. Everyday,Terraforming
Australian,Other,Undergraduate school,23,White,"Single, never married",Unable to work,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
British,EU,High school,23,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG",Less than every month,1. Everyday,Fishing
British,EU,Undergraduate school,23,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
US Citizen,US/Canada,Undergraduate school,23,White,Married or domestic partnership,Out of work and looking for work,2-3 years,"Adventure, RPG, Simulation",Every week,2. Almost everyday,Catching bugs
Filipino,Asia,Graduate school and higher,23,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Employed for wages,0-1 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
Usa,US/Canada,Graduate school and higher,23,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Fishing
Filipino,Asia,Graduate school and higher,23,Asian,"Single, never married",Employed for wages,More than 3 years,RPG,Almost everyday,2. Almost everyday,Designing
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
Chinese,Asia,Undergraduate school,24,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,24,White,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation",Almost everyday,2. Almost everyday,The photo studio
French,EU,High school,24,White,"Single, never married",Out of work and looking for work,More than 3 years,"RPG, Versus fighting",Everyday,1. Everyday,Terraforming
us,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Employed for wages,1-2 years,Action,Almost every week,4. Almost every week,Planting trees/flowers
us,US/Canada,Graduate school and higher,24,Black or African American,Married or domestic partnership,Employed for wages,1-2 years,Simulation,Every month,5. Every month,Planting trees/flowers
United States,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Sports",Almost everyday,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports, Puzzle",Everyday,1. Everyday,Collecting furniture and D.I.Yâs
Catalan (spanish),EU,Graduate school and higher,24,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports, almost all of them",Almost everyday,1. Everyday,Terraforming
America,US/Canada,High school,24,Black or African American,"Single, never married",Unable to work,2-3 years,"Adventure, RPG",Almost every week,3. Every week,Catching bugs
usa,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
Indonesia ,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,Simulation,Almost everyday,1. Everyday,Terraforming
USA,US/Canada,Graduate school and higher,24,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation",Everyday,1. Everyday,Doing daily chores and talking to villagers
American,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Decorating my island
USA,US/Canada,Graduate school and higher,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Catching bugs
Chinese,Asia,Undergraduate school,24,Asian,"Single, never married",Self-employed,2-3 years,"Action, Strategy",Almost every week,1. Everyday,Fishing
British,EU,Undergraduate school,24,Black or African American,"Single, never married",Employed for wages,0-1 years,Simulation,Everyday,1. Everyday,Planting trees/flowers
British,EU,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Collecting furniture/designing houses
British ,EU,Graduate school and higher,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, Simulation",Everyday,1. Everyday,Visiting other islands 
Scottish,EU,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation",Almost everyday,2. Almost everyday,Planting trees/flowers
English ,EU,High school,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,0-1 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,24,Pacific Islander,"Single, never married",A student,0-1 years,Simulation,Everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Out of work and looking for work,1-2 years,"Simulation, Sports",Almost everyday,1. Everyday,Fishing
British ,EU,Undergraduate school,24,White,"Single, never married",A student,More than 3 years,"Action, Adventure, Strategy",Everyday,2. Almost everyday,Catching bugs
American,US/Canada,Undergraduate school,24,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG",Everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,1. Everyday,Talking to villagers
American,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Strategy",Every week,2. Almost everyday,Catching bugs
American,US/Canada,High school,24,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Terraforming
United States of America,US/Canada,Graduate school and higher,24,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Strategy",Every week,2. Almost everyday,Designing my island 
American,US/Canada,Undergraduate school,24,White,Divorced,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Catching bugs
American ,US/Canada,Undergraduate school,24,White,"Single, never married",Self-employed,More than 3 years,"Action, Adventure",Everyday,1. Everyday,Talking to villagers
American,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,2. Almost everyday,Fishing
American,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG",Everyday,1. Everyday,Talking to villagers
American,US/Canada,Graduate school and higher,24,White,"Single, never married",Employed for wages,More than 3 years,"Simulation, Strategy",Every week,2. Almost everyday,Decorating the island
British ,EU,Graduate school and higher,24,White,"Single, never married",Employed for wages,More than 3 years,Strategy,Almost everyday,2. Almost everyday,Decorating home and island 
Filipino-American,US/Canada,Undergraduate school,24,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Crafting DIYs
Canadian ,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Adventure, RPG",Almost everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Cataloging
Filipino ,Asia,Undergraduate school,24,Pacific Islander,Married or domestic partnership,A student,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,24,White,"Single, never married",A student,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Fishing
United States of America,US/Canada,Undergraduate school,24,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"RPG, Simulation, Puzzle",Every week,1. Everyday,Fishing
Filipino,Asia,Graduate school and higher,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Sports",Everyday,1. Everyday,Kicking out villagers for experiments 
American ,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,0-1 years,RPG,Everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,24,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Strategy",Everyday,1. Everyday,Fishing
American ,US/Canada,Undergraduate school,24,White,"Single, never married",A student,1-2 years,"Adventure, Simulation",Almost every week,3. Every week,Planting trees/flowers
Filipino,Asia,Graduate school and higher,24,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,1. Everyday,Terraforming
British,EU,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG",Everyday,1. Everyday,Planting trees/flowers
British ,EU,Undergraduate school,24,White,"Single, never married",Employed for wages,0-1 years,Simulation,Everyday,1. Everyday,Terraforming
Canadian ,US/Canada,Graduate school and higher,24,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Simulation, Point and click, first person shooter",Everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,24,White,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Strategy",Everyday,1. Everyday,diy building 
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,3. Every week,Fishing
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,0-1 years,"RPG, Strategy",Everyday,1. Everyday,Customizing stuff
Filipino ,Asia,Undergraduate school,24,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Strategy",Every month,1. Everyday,Terraforming
Vietnamese,Asia,Undergraduate school,25,Asian,Married or domestic partnership,Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
Vietnam,Asia,Graduate school and higher,25,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,1. Everyday,Fishing
Vietnamese,Asia,Graduate school and higher,25,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Catching bugs
Japanese,Asia,Undergraduate school,25,Asian,"Single, never married",Employed for wages,0-1 years,Adventure,Almost everyday,1. Everyday,Catching bugs
usa,US/Canada,Undergraduate school,25,White,Married or domestic partnership,Self-employed,1-2 years,Adventure,Every week,3. Every week,Terraforming
uk,EU,Graduate school and higher,25,White,"Single, never married",Employed for wages,,"Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
us,US/Canada,Undergraduate school,25,White,Married or domestic partnership,Employed for wages,1-2 years,Adventure,Every week,3. Every week,Terraforming
us,US/Canada,Graduate school and higher,25,White,Married or domestic partnership,Employed for wages,2-3 years,Simulation,Everyday,1. Everyday,Planting trees/flowers
 America,US/Canada,Undergraduate school,25,Hispanic or Latino,"Single, never married",Out of work and looking for work,More than 3 years,"Action, RPG, Strategy",Every month,4. Almost every week,Terraforming
United States,US/Canada,Undergraduate school,25,Asian,Married or domestic partnership,Employed for wages,2-3 years,Adventure,Almost everyday,1. Everyday,Terraforming
USA,US/Canada,High school,25,White,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, Simulation, Strategy",Everyday,1. Everyday,Fishing
United States,US/Canada,High school,25,Black or African American,Married or domestic partnership,Employed for wages,1-2 years,"Adventure, RPG",Almost everyday,1. Everyday,Fishing
America,US/Canada,Undergraduate school,25,White,"Single, never married",A student,2-3 years,Simulation,Every week,2. Almost everyday,Terraforming
America,US/Canada,Undergraduate school,25,White,"Single, never married",Employed for wages,2-3 years,"Action, Adventure",Almost every week,2. Almost everyday,Planting trees/flowers
USA,US/Canada,Undergraduate school,25,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Simulation, Strategy",Everyday,1. Everyday,Fishing
U.S.,US/Canada,Undergraduate school,25,Native American or American Indian,"Single, never married",Employed for wages,More than 3 years,"Action, RPG",Almost everyday,2. Almost everyday,Catching bugs
USA,US/Canada,Undergraduate school,25,White,"Single, never married",Employed for wages,1-2 years,"Action, Adventure",Every week,3. Every week,Fishing
us,US/Canada,High school,25,White,"Single, never married",Employed for wages,1-2 years,"Adventure, Simulation",Almost everyday,3. Every week,Fishing
US,US/Canada,Graduate school and higher,25,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,3. Every week,Fishing
Caucasian ,EU,High school,25,White,Married or domestic partnership,Unable to work,More than 3 years,"RPG, Strategy",Everyday,1. Everyday,Forming relationships and interacting with villagers
American,US/Canada,High school,25,White,Married or domestic partnership,A student,More than 3 years,"Adventure, RPG, Strategy",Every week,6. Less than every month,Catching bugs
British/English ,EU,Undergraduate school,25,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Catching bugs
Filipino,Asia,Undergraduate school,25,Asian,"Single, never married",Employed for wages,2-3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Fishing
Filipino,Asia,Graduate school and higher,25,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,1. Everyday,Terraforming
British,EU,High school,25,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Collecting and decorating 
Filipino,Asia,Undergraduate school,25,Asian,"Single, never married",Employed for wages,1-2 years,"Action, Adventure, RPG",Everyday,1. Everyday,Terraforming
African American,US/Canada,High school,25,Black or African American,Divorced,Self-employed,More than 3 years,RPG,Almost everyday,2. Almost everyday,Planting trees/flowers
Autsralian,Other,Secondary school,25,White,Married or domestic partnership,A homemaker,More than 3 years,"RPG, Strategy",Everyday,1. Everyday,Fishing
American ,US/Canada,Undergraduate school,25,White,"Single, never married",Self-employed,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Shopping for new stuff 
American,US/Canada,Undergraduate school,25,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating my home and giving neighbors gifts 
American,US/Canada,Undergraduate school,25,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Design
American,US/Canada,Undergraduate school,25,Hispanic or Latino,"Single, never married",Employed for wages,More than 3 years,Simulation,Everyday,1. Everyday,Catching bugs
American,US/Canada,High school,25,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
American,US/Canada,High school,25,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"RPG, Strategy",Less than every month,2. Almost everyday,customizing everything from laying paths to decorating my home
American,US/Canada,Graduate school and higher,25,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Strategy",Almost everyday,1. Everyday,"Collecting everything (fossils, fish, bugs, etc.)"
American,US/Canada,Undergraduate school,25,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation",Almost everyday,2. Almost everyday,Collecting recipes/furniture and decorating
Vietnamese,Asia,Graduate school and higher,25,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Planting trees/flowers
Mixed race ,Other,High school,25,Hispanic or Latino,Married or domestic partnership,A homemaker,More than 3 years,"Action, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Catching bugs
Singaporean,Asia,Undergraduate school,25,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Terraforming
Welsh,EU,Graduate school and higher,25,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
Ashenkazi Jewish,Other,Undergraduate school,25,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating my island and house with amenities
Filipino,Asia,Graduate school and higher,25,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
British ,EU,High school,25,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
Filipino,Asia,Undergraduate school,25,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,1. Everyday,Fishing
American,US/Canada,Graduate school and higher,25,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Secondary school,25,Asian,"Single, never married",Employed for wages,0-1 years,"Adventure, Simulation",Almost everyday,1. Everyday,Decorating
American,US/Canada,Undergraduate school,25,White,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Horror",Everyday,1. Everyday,Playing the game and hanging with friends
Filipino,Asia,Graduate school and higher,25,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Everything
usa,US/Canada,Graduate school and higher,25,White,"Single, never married",Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
Vietnam,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Catching bugs
Vietnam,Asia,High school,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Simulation, Sports",Every week,1. Everyday,Fishing
Vietnam,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Complete the catalog
Vietnam,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG",Everyday,1. Everyday,Harassing the villagers
Viet Nam,Asia,Undergraduate school,26,Asian,"Single, never married",Employed for wages,More than 3 years,Sports,Every week,3. Every week,Catching bugs
American,US/Canada,Undergraduate school,26,Other,"Single, never married",Out of work but not currently looking for work,More than 3 years,Action,Less than every month,1. Everyday,Visiting friends islands 
American,US/Canada,Graduate school and higher,26,Hispanic or Latino,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Catching bugs
Chinese,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,1. Everyday,Decorating/Coming up with new ideas
usa,US/Canada,Graduate school and higher,26,Asian,Married or domestic partnership,Employed for wages,,,Almost everyday,2. Almost everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,26,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
Vietnam,Asia,Undergraduate school,26,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
U.S.,US/Canada,Undergraduate school,26,White,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Strategy",Almost every week,5. Every month,Planting trees/flowers
America,US/Canada,Undergraduate school,26,Hispanic or Latino,"Single, never married",Out of work but not currently looking for work,1-2 years,"Adventure, RPG, Simulation, Strategy",Almost every week,4. Almost every week,Catching bugs
America,US/Canada,Undergraduate school,26,Native American or American Indian,"Single, never married",Employed for wages,1-2 years,"RPG, Simulation, Sports",Every week,4. Almost every week,Planting trees/flowers
USA,US/Canada,High school,26,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Simulation, Strategy",Almost everyday,1. Everyday,Fishing
America,US/Canada,Undergraduate school,26,Native American or American Indian,"Single, never married",Out of work and looking for work,1-2 years,"Adventure, RPG, Strategy, Sports",Almost everyday,4. Almost every week,Terraforming
Vietnam,Asia,Undergraduate school,26,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Strategy, Sports",Every week,3. Every week,Terraforming
usa,US/Canada,Graduate school and higher,26,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Catching bugs
us,US/Canada,Undergraduate school,26,White,Married or domestic partnership,Employed for wages,2-3 years,"Adventure, Simulation, Sports",Almost everyday,3. Every week,Fishing
American,US/Canada,High school,26,Hispanic or Latino,Married or domestic partnership,Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Interior Design
US,US/Canada,Graduate school and higher,26,White,"Single, never married",Employed for wages,0-1 years,RPG,Every week,6. Less than every month,Planting trees/flowers
american,US/Canada,High school,26,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
British,EU,Undergraduate school,26,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG",Almost everyday,2. Almost everyday,Varies on a day to day basis
Scottish,EU,Undergraduate school,26,White,Married or domestic partnership,Employed for wages,More than 3 years,"Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
British,EU,Undergraduate school,26,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating my island
filipino,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,designing recreational spaces
USA,US/Canada,Undergraduate school,26,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
Hispanic ,EU,Graduate school and higher,26,Hispanic or Latino,"Single, never married",Out of work and looking for work,2-3 years,"Action, Adventure, Simulation, Strategy",Less than every month,1. Everyday,Shopping and going to other islands
American,US/Canada,High school,26,Other,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Planting trees/flowers
USA,US/Canada,Graduate school and higher,26,White,Married or domestic partnership,A homemaker,More than 3 years,"Iâm not sure what category, but League of Legends and Fortnite ",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Graduate school and higher,26,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Graduate school and higher,26,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Every week,1. Everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,26,White,"Single, never married",Unable to work,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Decorating my house
Latina,Other,Undergraduate school,26,Hispanic or Latino,Married or domestic partnership,A homemaker,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Graduate school and higher,26,White,"Single, never married",Employed for wages,0-1 years,"Simulation, Strategy",Every week,1. Everyday,Playing with friends 
